root - INFO - 2023-06-13 09:00:12.682075 - Finvant Alcubierre Mk1 OMS Backend turned on.
root - INFO - 2023-06-13 09:00:12.752185 - OMS Backend mainloop started.
root - INFO - 2023-06-13 09:00:13.880482 - User data obtained.
root - INFO - 2023-06-13 09:00:16.049742 - Spreads obtained.
root - INFO - 2023-06-13 09:00:16.120197 - Config file obtained.
root - INFO - 2023-06-13 09:00:16.189145 - OMSB: Logging in for backend kite ticker.
root - INFO - 2023-06-13 09:00:21.983545 - OMSB: Login succesful for backend kite ticker.
root - INFO - 2023-06-13 09:00:22.055027 - Initialising LTP gather thread.
root - INFO - 2023-06-13 09:00:22.463379 - Attempting XTS login.
root - INFO - 2023-06-13 09:00:22.464707 - OMSB: Zerodha login for TL9951.
root - INFO - 2023-06-13 09:00:22.466283 - OMSB: Zerodha login for WG5235.
root - INFO - 2023-06-13 09:00:22.667707 - BPWealth login for AHO7763.
root - INFO - 2023-06-13 09:00:22.778445 - XTS login token: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySUQiOiJIREwwMDA2XzU5NUU0NzY4RTFEM0ZCNDFCNUUyODIiLCJwdWJsaWNLZXkiOiI1OTVlNDc2OGUxZDNmYjQxYjVlMjgyIiwiaWF0IjoxNjg2NjI3MDIyLCJleHAiOjE2ODY3MTM0MjJ9.IcjV4ClHd9OXAujvI8e-nKec8bmuR_2SxyYG7dhPuJw.
root - INFO - 2023-06-13 09:00:22.849090 - ODIN login for NB01.
root - INFO - 2023-06-13 09:00:23.198997 - BPWealth login for AHD083.
root - CRITICAL - CRITICAL ERROR:2023-06-13 09:00:23.482079 - ODIN login failed for NB01. Error: 'data'.
['Traceback (most recent call last):', '  File "/home/ubuntu/Alcubierre_Mk1_OMS/Backend/Scripts/AutoLoginOdin.py", line 48, in login', '    access_token = r["data"]["access_token"]', "KeyError: 'data'"]
root - INFO - 2023-06-13 09:00:23.553804 - ODIN login for AKV2922.
root - INFO - 2023-06-13 09:00:24.397324 - ODIN login succesful for AKV2922.
root - INFO - 2023-06-13 09:00:24.452576 - BPWealth login for ACS1301.
root - INFO - 2023-06-13 09:00:24.479629 - ODIN login for S0201.
root - INFO - 2023-06-13 09:00:24.920628 - BPWealth login for ACS1207.
root - INFO - 2023-06-13 09:00:25.157691 - ODIN login succesful for S0201.
root - INFO - 2023-06-13 09:00:25.232071 - ODIN login for S0201.
root - INFO - 2023-06-13 09:00:25.274530 - BPWealth login for AC66.
root - INFO - 2023-06-13 09:00:25.873004 - ODIN login succesful for S0201.
root - INFO - 2023-06-13 09:00:28.888656 - OMSB: Zerodha login succesful for TL9951.
root - INFO - 2023-06-13 09:00:28.959103 - OMSB: Zerodha login for RL7826.
root - INFO - 2023-06-13 09:00:29.093065 - OMSB: Zerodha login succesful for WG5235.
root - INFO - 2023-06-13 09:00:29.162525 - OMSB: Zerodha login for FS3611.
root - INFO - 2023-06-13 09:00:34.963629 - OMSB: Zerodha login succesful for RL7826.
root - INFO - 2023-06-13 09:00:35.034868 - OMSB: Zerodha login for YU5680.
root - INFO - 2023-06-13 09:00:35.121997 - OMSB: Zerodha login succesful for FS3611.
root - INFO - 2023-06-13 09:00:35.192107 - OMSB: Zerodha login for VR1418.
root - INFO - 2023-06-13 09:00:40.954853 - OMSB: Zerodha login succesful for YU5680.
root - INFO - 2023-06-13 09:00:41.024499 - OMSB: Zerodha login for WG5235.
root - INFO - 2023-06-13 09:00:41.234185 - OMSB: Zerodha login succesful for VR1418.
root - INFO - 2023-06-13 09:00:41.303544 - OMSB: Zerodha login for BQ1244.
root - INFO - 2023-06-13 09:00:46.979197 - OMSB: Zerodha login succesful for WG5235.
root - INFO - 2023-06-13 09:00:47.207171 - BPWealth login for AHO7706.
root - INFO - 2023-06-13 09:00:47.309731 - OMSB: Zerodha login succesful for BQ1244.
root - INFO - 2023-06-13 09:00:47.382427 - OMSB: Zerodha login for CJ4922.
root - CRITICAL - CRITICAL ERROR:2023-06-13 09:00:58.062890 - OMSB: Failed auto login to kite for user:CJ4922.
['Traceback (most recent call last):', '  File "/home/ubuntu/Alcubierre_Mk1_OMS/Backend/Scripts/AutoLoginZerodha.py", line 119, in auto_login_zerodha', '    data = kite.generate_session(key, api_secret=api_secret)', '  File "/home/ubuntu/.local/lib/python3.10/site-packages/kiteconnect/connect.py", line 259, in generate_session', '    h = hashlib.sha256(self.api_key.encode("utf-8") + request_token.encode("utf-8") + api_secret.encode("utf-8"))', "AttributeError: 'int' object has no attribute 'encode'"]
root - INFO - 2023-06-13 09:00:58.134048 - Order handler initialised.
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection error: 1006 - connection was closed uncleanly (None)
kiteconnect.ticker - ERROR - Connection closed: 1006 - connection was closed uncleanly (None)
