,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
0,13804802,53925,NIFTY23APR16000CE,NIFTY,0.0,2023-04-27,16000.0,0.05,50,CE,NFO-OPT,NFO
1,13822466,53994,NIFTY23APR16100CE,NIFTY,0.0,2023-04-27,16100.0,0.05,50,CE,NFO-OPT,NFO
2,13828098,54016,NIFTY23APR16200CE,NIFTY,0.0,2023-04-27,16200.0,0.05,50,CE,NFO-OPT,NFO
3,13848578,54096,NIFTY23APR16300CE,NIFTY,0.0,2023-04-27,16300.0,0.05,50,CE,NFO-OPT,NFO
4,13851138,54106,NIFTY23APR16400CE,NIFTY,0.0,2023-04-27,16400.0,0.05,50,CE,NFO-OPT,NFO
5,13854722,54120,NIFTY23APR16500CE,NIFTY,0.0,2023-04-27,16500.0,0.05,50,CE,NFO-OPT,NFO
6,13866242,54165,NIFTY23APR16600CE,NIFTY,0.0,2023-04-27,16600.0,0.05,50,CE,NFO-OPT,NFO
7,13869314,54177,NIFTY23APR16700CE,NIFTY,0.0,2023-04-27,16700.0,0.05,50,CE,NFO-OPT,NFO
8,13875458,54201,NIFTY23APR16800CE,NIFTY,0.0,2023-04-27,16800.0,0.05,50,CE,NFO-OPT,NFO
9,13881090,54223,NIFTY23APR16900CE,NIFTY,0.0,2023-04-27,16900.0,0.05,50,CE,NFO-OPT,NFO
10,13887234,54247,NIFTY23APR17000CE,NIFTY,0.0,2023-04-27,17000.0,0.05,50,CE,NFO-OPT,NFO
11,13903362,54310,NIFTY23APR17100CE,NIFTY,0.0,2023-04-27,17100.0,0.05,50,CE,NFO-OPT,NFO
12,13905666,54319,NIFTY23APR17200CE,NIFTY,0.0,2023-04-27,17200.0,0.05,50,CE,NFO-OPT,NFO
13,13906690,54323,NIFTY23APR17300CE,NIFTY,0.0,2023-04-27,17300.0,0.05,50,CE,NFO-OPT,NFO
14,13910274,54337,NIFTY23APR17400CE,NIFTY,0.0,2023-04-27,17400.0,0.05,50,CE,NFO-OPT,NFO
15,13912066,54344,NIFTY23APR17500CE,NIFTY,0.0,2023-04-27,17500.0,0.05,50,CE,NFO-OPT,NFO
16,13913090,54348,NIFTY23APR17600CE,NIFTY,0.0,2023-04-27,17600.0,0.05,50,CE,NFO-OPT,NFO
17,13914626,54354,NIFTY23APR17700CE,NIFTY,0.0,2023-04-27,17700.0,0.05,50,CE,NFO-OPT,NFO
18,13918210,54368,NIFTY23APR17800CE,NIFTY,0.0,2023-04-27,17800.0,0.05,50,CE,NFO-OPT,NFO
19,13920514,54377,NIFTY23APR17900CE,NIFTY,0.0,2023-04-27,17900.0,0.05,50,CE,NFO-OPT,NFO
20,13923842,54390,NIFTY23APR18000CE,NIFTY,0.0,2023-04-27,18000.0,0.05,50,CE,NFO-OPT,NFO
21,13932546,54424,NIFTY23APR18100CE,NIFTY,0.0,2023-04-27,18100.0,0.05,50,CE,NFO-OPT,NFO
22,13936130,54438,NIFTY23APR18200CE,NIFTY,0.0,2023-04-27,18200.0,0.05,50,CE,NFO-OPT,NFO
23,13937154,54442,NIFTY23APR18300CE,NIFTY,0.0,2023-04-27,18300.0,0.05,50,CE,NFO-OPT,NFO
24,13942274,54462,NIFTY23APR18400CE,NIFTY,0.0,2023-04-27,18400.0,0.05,50,CE,NFO-OPT,NFO
25,13943298,54466,NIFTY23APR18500CE,NIFTY,0.0,2023-04-27,18500.0,0.05,50,CE,NFO-OPT,NFO
26,13950466,54494,NIFTY23APR18600CE,NIFTY,0.0,2023-04-27,18600.0,0.05,50,CE,NFO-OPT,NFO
27,13968130,54563,NIFTY23APR18700CE,NIFTY,0.0,2023-04-27,18700.0,0.05,50,CE,NFO-OPT,NFO
28,13969154,54567,NIFTY23APR18800CE,NIFTY,0.0,2023-04-27,18800.0,0.05,50,CE,NFO-OPT,NFO
29,13970178,54571,NIFTY23APR18900CE,NIFTY,0.0,2023-04-27,18900.0,0.05,50,CE,NFO-OPT,NFO
30,13973250,54583,NIFTY23APR19000CE,NIFTY,0.0,2023-04-27,19000.0,0.05,50,CE,NFO-OPT,NFO
31,13974786,54589,NIFTY23APR19100CE,NIFTY,0.0,2023-04-27,19100.0,0.05,50,CE,NFO-OPT,NFO
32,13977346,54599,NIFTY23APR19200CE,NIFTY,0.0,2023-04-27,19200.0,0.05,50,CE,NFO-OPT,NFO
33,13978370,54603,NIFTY23APR19300CE,NIFTY,0.0,2023-04-27,19300.0,0.05,50,CE,NFO-OPT,NFO
34,13979906,54609,NIFTY23APR19400CE,NIFTY,0.0,2023-04-27,19400.0,0.05,50,CE,NFO-OPT,NFO
35,13981954,54617,NIFTY23APR19500CE,NIFTY,0.0,2023-04-27,19500.0,0.05,50,CE,NFO-OPT,NFO
